playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,start_sector,end_sector,playerName
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1009,1278,318.32,510.32,Label67,27.16,7,12,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1009,1278,318.32,510.32,Label67,27.16,7,12,B. Oczipka
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1009,1278,318.32,510.32,Label67,27.16,7,12,B. Oczipka
143853,LW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,154,74,416.32,473.32,Label57,8.07,5,9,S. Kittel
143853,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,154,74,416.32,473.32,Label57,8.07,5,9,S. Kittel
143853,LW,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,154,74,416.32,473.32,Label57,8.07,5,9,S. Kittel
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,273,59,526.32,477.32,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,273,59,526.32,477.32,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,273,59,526.32,477.32,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,273,59,526.32,477.32,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,273,59,526.32,477.32,Label68,17.7,9,9,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,342,82,571.32,315.32,Label67,30.29,9,5,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,342,82,571.32,315.32,Label67,30.29,9,5,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,342,82,571.32,315.32,Label67,30.29,9,5,M. Fabian
