ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,playerPositionID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionID,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6258544,6261,484.9,486.3,248,0,0,16087,4,RB,NETOCNO DODAVANJE,0,0,54689,13,LCB,1,home,428,881,792.32,711.32,,37.05,0,0.0,484.9,485.29,FirstHalf,right,1.4,0.39,14,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258546,6261,484.9,486.3,211,248,248,16087,4,RB,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,54689,13,LCB,1,home,428,881,792.32,711.32,,37.05,0,0.0,484.9,485.29,FirstHalf,right,1.4,0.39,14,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258562,6261,487.84,492.23,232,0,250,16087,4,RB,OUT,0,IZGUBLJEN OUT,0,0,0,2,home,642,987,764.32,802.32,,27.91,0,0.0,487.84,488.49,FirstHalf,right,4.39,0.65,14,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258563,6261,487.84,492.23,15,232,232,16087,4,RB,LOPTA PO ZRAKU,OUT,OUT,0,0,0,2,home,642,987,764.32,802.32,,27.91,0,0.0,487.84,488.49,FirstHalf,right,4.39,0.65,14,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258586,6261,509.88,510.44,247,0,0,16491,21,RW,TOCNO DODAVANJE,0,0,205485,16,RCM,1,home,703,714,760.32,716.32,,3.87,0,0.0,509.88,509.94,FirstHalf,right,0.56,0.06,15,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258593,6261,510.44,512.37,248,0,0,205485,16,RCM,NETOCNO DODAVANJE,0,0,35785,2,LB,2,home,725,914,722.32,758.32,,15.49,0,0.0,510.44,511.25,FirstHalf,right,1.93,0.81,15,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258627,6261,514.8,517.02,247,0,0,66692,13,LCB,TOCNO DODAVANJE,0,0,11341,1,GK,1,home,453,294,531.32,488.32,,13.29,0,0.0,514.8,514.93,FirstHalf,right,2.22,0.13,10,9,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258629,6261,514.8,517.02,32,247,168,66692,13,LCB,VELIKE POGRESKE,TOCNO DODAVANJE,SKORO GOL,11341,1,GK,1,home,453,294,531.32,488.32,,13.29,0,0.0,514.8,514.93,FirstHalf,right,2.22,0.13,10,9,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258631,6261,514.8,517.02,63,247,247,11341,1,GK,DOBRA PROCJENA ISTRCAVANJA,TOCNO DODAVANJE,TOCNO DODAVANJE,11341,1,GK,1,home,453,294,531.32,488.32,,13.29,0,0.0,514.8,514.93,FirstHalf,right,2.22,0.13,10,9,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6258713,6261,548.63,550.62,247,0,0,39479,17,LCF,TOCNO DODAVANJE,0,0,16491,21,RW,1,home,602,730,484.32,739.32,,24.15,0,0.0,548.63,548.78,FirstHalf,right,1.99,0.15,10,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
