playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,goalZone,distance,start_sector,end_sector,playerName
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label57,23.36,7,8,M. Fabian
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label57,23.36,7,8,M. Fabian
212914,RWB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label50,17.75,12,16,Y. Regasel
212914,RWB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label50,17.75,12,16,Y. Regasel
212914,RWB,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,Label50,17.75,12,16,Y. Regasel
212914,RWB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label50,17.75,12,16,Y. Regasel
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label66,5.43,8,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label66,5.43,8,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label53,10.04,8,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label53,10.04,8,8,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label53,10.04,8,8,H. Seferovic
21022,LCB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label66,6.44,12,12,L. Abraham
21022,LCB,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label66,6.44,12,12,L. Abraham
