playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,distance,poss_duration,start_sector,end_sector,playerName,targetName
67519,RES,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,7.94,0.19,12,12,V. Kadlec,
1802,LCM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,25.68,1.01,6,9,A. Meier,
1802,LCM,UDARAC,UDARAC U OKVIR,ZONA,0,0,25.68,1.01,6,9,A. Meier,
1802,LCM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,25.68,1.01,6,9,A. Meier,
1802,LCM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,25.68,1.01,6,9,A. Meier,
12956,LB,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,27.39,1.38,10,5,C. Djakpa,
12956,LB,UDARAC,UDARAC U OKVIR,ZONA,0,0,27.39,1.38,10,5,C. Djakpa,
12956,LB,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,27.39,1.38,10,5,C. Djakpa,
12956,LB,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,27.39,1.38,10,5,C. Djakpa,
12956,LB,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,11.1,0.15,8,8,C. Djakpa,
12956,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,11.1,0.15,8,8,C. Djakpa,
12956,LB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,11.1,0.15,8,8,C. Djakpa,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,11.24,0.14,5,5,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,11.24,0.14,5,5,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,11.24,0.14,5,5,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,21.46,1.19,5,5,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,21.46,1.19,5,5,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,0,21.46,1.19,5,5,H. Seferovic,
16520,RW,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,15.99,0.85,1,5,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,15.99,0.85,1,5,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,9.97,0.13,5,5,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,9.97,0.13,5,5,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,9.97,0.13,5,5,S. Aigner,
1802,CAM,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,5.73,0.12,5,5,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,5.73,0.12,5,5,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,5.73,0.12,5,5,A. Meier,
16520,RW,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,9.04,0.14,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,9.04,0.14,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,9.04,0.14,12,8,S. Aigner,
77888,ST,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,7.03,0.15,12,12,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,7.03,0.15,12,12,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,13.87,0.14,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,13.87,0.14,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,13.87,0.14,12,8,H. Seferovic,
203576,LW,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,27.74,2.08,4,8,M. Gacinovic,
203576,LW,UDARAC,UDARAC U OKVIR,ZONA,0,0,27.74,2.08,4,8,M. Gacinovic,
203576,LW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,27.74,2.08,4,8,M. Gacinovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,39.46,1.76,12,4,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,39.46,1.76,12,4,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,39.46,1.76,12,4,H. Seferovic,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,12.07,0.14,8,8,A. Meier,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,12.07,0.14,8,8,A. Meier,
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,17.02,1.81,8,8,B. Oczipka,
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,17.02,1.81,8,8,B. Oczipka,
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,17.02,1.81,8,8,B. Oczipka,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,30.87,0.16,3,8,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,ATRAKTIVAN,0,0,30.87,0.16,3,8,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,30.87,0.16,3,8,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,19.88,5.09,8,12,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,19.88,5.09,8,12,H. Seferovic,
