ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6316577,6308,4866.87,4869.02,247,0,0,21022,TOCNO DODAVANJE,0,0,40700,LCB,RCM,2,602,600,223.32,366.32,12.25,2,6.0,2.15,0.49
6316580,6308,4869.02,4870.58,247,0,0,40700,TOCNO DODAVANJE,0,0,199745,RCM,LCM,3,608,731,380.32,393.32,9.94,6,7.0,1.56,0.94
6316583,6308,4870.58,4871.68,247,0,0,199745,TOCNO DODAVANJE,0,0,40700,LCM,RCM,1,743,585,385.32,447.32,13.76,7,6.0,1.1,0.0
6316588,6308,4871.68,4874.44,247,0,0,40700,TOCNO DODAVANJE,0,0,57720,RCM,ST,2,596,698,463.32,694.32,21.42,6,6.0,2.76,1.55
6316592,6308,4874.44,4876.66,247,0,0,57720,TOCNO DODAVANJE,0,0,16520,ST,RW,3,727,851,707.32,781.32,11.81,11,11.0,2.22,1.23
6316594,6308,4876.66,4878.06,247,0,0,16520,TOCNO DODAVANJE,0,0,39442,RW,RCB,1,853,562,777.32,635.32,26.36,11,6.0,1.4,0.0
6316596,6308,4878.06,4880.88,247,0,0,39442,TOCNO DODAVANJE,0,0,8570,RCB,GK,2,502,280,605.32,441.32,22.71,6,5.0,2.82,1.02
6316598,6308,4880.88,4884.3,247,0,0,8570,TOCNO DODAVANJE,0,0,21022,GK,LCB,3,334,470,418.32,224.32,19.89,5,2.0,3.42,1.94
6316603,6308,4884.3,4888.81,15,248,248,21022,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,171186,LCB,LB,2,521,963,243.32,597.32,46.71,2,7.0,4.51,2.01
6316717,6308,4936.01,4937.55,247,0,0,199745,TOCNO DODAVANJE,0,0,206102,LCM,LW,3,456,521,310.32,109.32,18.0,2,2.0,1.54,0.53
6316738,6308,4944.48,4946.21,247,0,0,206101,TOCNO DODAVANJE,0,0,40700,RB,RCM,1,556,601,121.32,311.32,16.68,2,2.0,1.73,0.62
6316757,6308,4966.32,4967.2,247,0,0,1802,TOCNO DODAVANJE,0,0,16520,CAM,RW,3,970,1009,403.32,694.32,25.13,7,7.0,0.88,0.0
6316762,6308,4967.2,4969.13,15,75,75,16520,LOPTA PO ZRAKU,GOL OUT,GOL OUT,0,RW,0,1,1000,1309,715.32,646.32,25.52,11,8.0,1.93,0.51
6316812,6308,5023.24,5025.18,247,0,0,196633,TOCNO DODAVANJE,0,0,199745,LB,LCM,3,453,455,124.32,168.32,3.77,2,2.0,1.94,1.65
6316815,6308,5025.18,5026.85,247,0,0,199745,TOCNO DODAVANJE,0,0,1802,LCM,CAM,3,453,558,187.32,280.32,11.6,2,2.0,1.67,0.98
6316817,6308,5026.85,5028.71,247,0,0,1802,TOCNO DODAVANJE,0,0,40700,CAM,RCM,2,548,562,327.32,470.32,12.3,2,6.0,1.86,0.97
6316818,6308,5026.85,5028.71,15,247,247,1802,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,40700,CAM,RCM,2,548,562,327.32,470.32,12.3,2,6.0,1.86,0.97
6316821,6308,5028.71,5030.12,15,248,248,40700,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,171186,RCM,LB,1,555,723,466.32,484.32,13.58,6,7.0,1.41,0.0
6316836,6308,5036.28,5038.87,247,0,0,57720,TOCNO DODAVANJE,0,0,206102,ST,LW,2,376,486,447.32,326.32,13.62,6,2.0,2.59,1.2
6316914,6308,5050.22,5051.68,247,0,0,206102,TOCNO DODAVANJE,0,0,199745,LW,LCM,1,607,664,188.32,294.32,10.17,2,2.0,1.46,0.59
6316916,6308,5050.22,5051.68,261,171,247,206102,IZVODENJE SLOBODNOG UDARCA,TOCNO DODAVANJE,SLOBODAN UDARAC DODAVANJE,199745,LW,LCM,1,607,664,188.32,294.32,10.17,2,2.0,1.46,0.59
